time,value
0.000000, -0.000000
1.000000, -0.006283
2.000000, -0.012566
3.000000, -0.018848
4.000000, -0.025130
5.000000, -0.031411
6.000000, -0.037690
7.000000, -0.043968
8.000000, -0.050244
9.000000, -0.056519
10.000000, -0.062791
11.000000, -0.069060
12.000000, -0.075327
13.000000, -0.081591
14.000000, -0.087851
15.000000, -0.094108
16.000000, -0.100362
17.000000, -0.106611
18.000000, -0.112856
19.000000, -0.119097
20.000000, -0.125333
21.000000, -0.131564
22.000000, -0.137790
23.000000, -0.144011
24.000000, -0.150226
25.000000, -0.156434
26.000000, -0.162637
27.000000, -0.168833
28.000000, -0.175023
29.000000, -0.181206
30.000000, -0.187381
31.000000, -0.193549
32.000000, -0.199710
33.000000, -0.205863
34.000000, -0.212007
35.000000, -0.218143
36.000000, -0.224271
37.000000, -0.230389
38.000000, -0.236499
39.000000, -0.242599
40.000000, -0.248690
41.000000, -0.254771
42.000000, -0.260842
43.000000, -0.266902
44.000000, -0.272952
45.000000, -0.278991
46.000000, -0.285019
47.000000, -0.291036
48.000000, -0.297042
49.000000, -0.303035
50.000000, -0.309017
51.000000, -0.314987
52.000000, -0.320944
53.000000, -0.326888
54.000000, -0.332820
55.000000, -0.338738
56.000000, -0.344643
57.000000, -0.350534
58.000000, -0.356412
59.000000, -0.362275
60.000000, -0.368125
61.000000, -0.373959
62.000000, -0.379779
63.000000, -0.385584
64.000000, -0.391374
65.000000, -0.397148
66.000000, -0.402906
67.000000, -0.408649
68.000000, -0.414376
69.000000, -0.420086
70.000000, -0.425779
71.000000, -0.431456
72.000000, -0.437116
73.000000, -0.442758
74.000000, -0.448383
75.000000, -0.453990
76.000000, -0.459580
77.000000, -0.465151
78.000000, -0.470704
79.000000, -0.476238
80.000000, -0.481754
81.000000, -0.487250
82.000000, -0.492727
83.000000, -0.498185
84.000000, -0.503623
85.000000, -0.509041
86.000000, -0.514440
87.000000, -0.519817
88.000000, -0.525175
89.000000, -0.530511
90.000000, -0.535827
91.000000, -0.541121
92.000000, -0.546394
93.000000, -0.551646
94.000000, -0.556876
95.000000, -0.562083
96.000000, -0.567269
97.000000, -0.572432
98.000000, -0.577573
99.000000, -0.582690
100.000000, -0.587785
101.000000, -0.592857
102.000000, -0.597905
103.000000, -0.602930
104.000000, -0.607930
105.000000, -0.612907
106.000000, -0.617860
107.000000, -0.622788
108.000000, -0.627691
109.000000, -0.632570
110.000000, -0.637424
111.000000, -0.642253
112.000000, -0.647056
113.000000, -0.651834
114.000000, -0.656586
115.000000, -0.661312
116.000000, -0.666012
117.000000, -0.670686
118.000000, -0.675333
119.000000, -0.679953
120.000000, -0.684547
121.000000, -0.689114
122.000000, -0.693653
123.000000, -0.698165
124.000000, -0.702650
125.000000, -0.707107
126.000000, -0.711536
127.000000, -0.715936
128.000000, -0.720309
129.000000, -0.724653
130.000000, -0.728969
131.000000, -0.733255
132.000000, -0.737513
133.000000, -0.741742
134.000000, -0.745941
135.000000, -0.750111
136.000000, -0.754251
137.000000, -0.758362
138.000000, -0.762443
139.000000, -0.766493
140.000000, -0.770513
141.000000, -0.774503
142.000000, -0.778462
143.000000, -0.782391
144.000000, -0.786288
145.000000, -0.790155
146.000000, -0.793990
147.000000, -0.797794
148.000000, -0.801567
149.000000, -0.805308
150.000000, -0.809017
151.000000, -0.812694
152.000000, -0.816339
153.000000, -0.819952
154.000000, -0.823533
155.000000, -0.827081
156.000000, -0.830596
157.000000, -0.834078
158.000000, -0.837528
159.000000, -0.840945
160.000000, -0.844328
161.000000, -0.847678
162.000000, -0.850994
163.000000, -0.854277
164.000000, -0.857527
165.000000, -0.860742
166.000000, -0.863923
167.000000, -0.867071
168.000000, -0.870184
169.000000, -0.873262
170.000000, -0.876307
171.000000, -0.879316
172.000000, -0.882291
173.000000, -0.885231
174.000000, -0.888136
175.000000, -0.891007
176.000000, -0.893841
177.000000, -0.896641
178.000000, -0.899405
179.000000, -0.902134
180.000000, -0.904827
181.000000, -0.907484
182.000000, -0.910106
183.000000, -0.912692
184.000000, -0.915241
185.000000, -0.917755
186.000000, -0.920232
187.000000, -0.922673
188.000000, -0.925077
189.000000, -0.927445
190.000000, -0.929776
191.000000, -0.932071
192.000000, -0.934329
193.000000, -0.936550
194.000000, -0.938734
195.000000, -0.940881
196.000000, -0.942991
197.000000, -0.945063
198.000000, -0.947098
199.000000, -0.949096
200.000000, -0.951057
201.000000, -0.952979
202.000000, -0.954865
203.000000, -0.956712
204.000000, -0.958522
205.000000, -0.960294
206.000000, -0.962028
207.000000, -0.963724
208.000000, -0.965382
209.000000, -0.967001
210.000000, -0.968583
211.000000, -0.970127
212.000000, -0.971632
213.000000, -0.973099
214.000000, -0.974527
215.000000, -0.975917
216.000000, -0.977268
217.000000, -0.978581
218.000000, -0.979855
219.000000, -0.981091
220.000000, -0.982287
221.000000, -0.983445
222.000000, -0.984564
223.000000, -0.985645
224.000000, -0.986686
225.000000, -0.987688
226.000000, -0.988652
227.000000, -0.989576
228.000000, -0.990461
229.000000, -0.991308
230.000000, -0.992115
231.000000, -0.992883
232.000000, -0.993611
233.000000, -0.994301
234.000000, -0.994951
235.000000, -0.995562
236.000000, -0.996134
237.000000, -0.996666
238.000000, -0.997159
239.000000, -0.997613
240.000000, -0.998027
241.000000, -0.998402
242.000000, -0.998737
243.000000, -0.999033
244.000000, -0.999289
245.000000, -0.999507
246.000000, -0.999684
247.000000, -0.999822
248.000000, -0.999921
249.000000, -0.999980
250.000000, -1.000000
251.000000, -0.999980
252.000000, -0.999921
253.000000, -0.999822
254.000000, -0.999684
255.000000, -0.999507
256.000000, -0.999289
257.000000, -0.999033
258.000000, -0.998737
259.000000, -0.998402
260.000000, -0.998027
261.000000, -0.997613
262.000000, -0.997159
263.000000, -0.996666
264.000000, -0.996134
265.000000, -0.995562
266.000000, -0.994951
267.000000, -0.994301
268.000000, -0.993611
269.000000, -0.992883
270.000000, -0.992115
271.000000, -0.991308
272.000000, -0.990461
273.000000, -0.989576
274.000000, -0.988652
275.000000, -0.987688
276.000000, -0.986686
277.000000, -0.985645
278.000000, -0.984564
279.000000, -0.983445
280.000000, -0.982287
281.000000, -0.981091
282.000000, -0.979855
283.000000, -0.978581
284.000000, -0.977268
285.000000, -0.975917
286.000000, -0.974527
287.000000, -0.973099
288.000000, -0.971632
289.000000, -0.970127
290.000000, -0.968583
291.000000, -0.967001
292.000000, -0.965382
293.000000, -0.963724
294.000000, -0.962028
295.000000, -0.960294
296.000000, -0.958522
297.000000, -0.956712
298.000000, -0.954865
299.000000, -0.952979
300.000000, -0.951057
301.000000, -0.949096
302.000000, -0.947098
303.000000, -0.945063
304.000000, -0.942991
305.000000, -0.940881
306.000000, -0.938734
307.000000, -0.936550
308.000000, -0.934329
309.000000, -0.932071
310.000000, -0.929776
311.000000, -0.927445
312.000000, -0.925077
313.000000, -0.922673
314.000000, -0.920232
315.000000, -0.917755
316.000000, -0.915241
317.000000, -0.912692
318.000000, -0.910106
319.000000, -0.907484
320.000000, -0.904827
321.000000, -0.902134
322.000000, -0.899405
323.000000, -0.896641
324.000000, -0.893841
325.000000, -0.891007
326.000000, -0.888136
327.000000, -0.885231
328.000000, -0.882291
329.000000, -0.879316
330.000000, -0.876307
331.000000, -0.873262
332.000000, -0.870184
333.000000, -0.867071
334.000000, -0.863923
335.000000, -0.860742
336.000000, -0.857527
337.000000, -0.854277
338.000000, -0.850994
339.000000, -0.847678
340.000000, -0.844328
341.000000, -0.840945
342.000000, -0.837528
343.000000, -0.834078
344.000000, -0.830596
345.000000, -0.827081
346.000000, -0.823533
347.000000, -0.819952
348.000000, -0.816339
349.000000, -0.812694
350.000000, -0.809017
351.000000, -0.805308
352.000000, -0.801567
353.000000, -0.797794
354.000000, -0.793990
355.000000, -0.790155
356.000000, -0.786288
357.000000, -0.782391
358.000000, -0.778462
359.000000, -0.774503
360.000000, -0.770513
361.000000, -0.766493
362.000000, -0.762443
363.000000, -0.758362
364.000000, -0.754251
365.000000, -0.750111
366.000000, -0.745941
367.000000, -0.741742
368.000000, -0.737513
369.000000, -0.733255
370.000000, -0.728969
371.000000, -0.724653
372.000000, -0.720309
373.000000, -0.715936
374.000000, -0.711536
375.000000, -0.707107
376.000000, -0.702650
377.000000, -0.698165
378.000000, -0.693653
379.000000, -0.689114
380.000000, -0.684547
381.000000, -0.679953
382.000000, -0.675333
383.000000, -0.670686
384.000000, -0.666012
385.000000, -0.661312
386.000000, -0.656586
387.000000, -0.651834
388.000000, -0.647056
389.000000, -0.642253
390.000000, -0.637424
391.000000, -0.632570
392.000000, -0.627691
393.000000, -0.622788
394.000000, -0.617860
395.000000, -0.612907
396.000000, -0.607930
397.000000, -0.602930
398.000000, -0.597905
399.000000, -0.592857
400.000000, -0.587785
401.000000, -0.582690
402.000000, -0.577573
403.000000, -0.572432
404.000000, -0.567269
405.000000, -0.562083
406.000000, -0.556876
407.000000, -0.551646
408.000000, -0.546394
409.000000, -0.541121
410.000000, -0.535827
411.000000, -0.530511
412.000000, -0.525175
413.000000, -0.519817
414.000000, -0.514440
415.000000, -0.509041
416.000000, -0.503623
417.000000, -0.498185
418.000000, -0.492727
419.000000, -0.487250
420.000000, -0.481754
421.000000, -0.476238
422.000000, -0.470704
423.000000, -0.465151
424.000000, -0.459580
425.000000, -0.453990
426.000000, -0.448383
427.000000, -0.442758
428.000000, -0.437116
429.000000, -0.431456
430.000000, -0.425779
431.000000, -0.420086
432.000000, -0.414376
433.000000, -0.408649
434.000000, -0.402906
435.000000, -0.397148
436.000000, -0.391374
437.000000, -0.385584
438.000000, -0.379779
439.000000, -0.373959
440.000000, -0.368125
441.000000, -0.362275
442.000000, -0.356412
443.000000, -0.350534
444.000000, -0.344643
445.000000, -0.338738
446.000000, -0.332820
447.000000, -0.326888
448.000000, -0.320944
449.000000, -0.314987
450.000000, -0.309017
451.000000, -0.303035
452.000000, -0.297042
453.000000, -0.291036
454.000000, -0.285019
455.000000, -0.278991
456.000000, -0.272952
457.000000, -0.266902
458.000000, -0.260842
459.000000, -0.254771
460.000000, -0.248690
461.000000, -0.242599
462.000000, -0.236499
463.000000, -0.230389
464.000000, -0.224271
465.000000, -0.218143
466.000000, -0.212007
467.000000, -0.205863
468.000000, -0.199710
469.000000, -0.193549
470.000000, -0.187381
471.000000, -0.181206
472.000000, -0.175023
473.000000, -0.168833
474.000000, -0.162637
475.000000, -0.156434
476.000000, -0.150226
477.000000, -0.144011
478.000000, -0.137790
479.000000, -0.131564
480.000000, -0.125333
481.000000, -0.119097
482.000000, -0.112856
483.000000, -0.106611
484.000000, -0.100362
485.000000, -0.094108
486.000000, -0.087851
487.000000, -0.081591
488.000000, -0.075327
489.000000, -0.069060
490.000000, -0.062791
491.000000, -0.056519
492.000000, -0.050244
493.000000, -0.043968
494.000000, -0.037690
495.000000, -0.031411
496.000000, -0.025130
497.000000, -0.018848
498.000000, -0.012566
499.000000, -0.006283
500.000000, -0.000000
501.000000, 0.006283
502.000000, 0.012566
503.000000, 0.018848
504.000000, 0.025130
505.000000, 0.031411
506.000000, 0.037690
507.000000, 0.043968
508.000000, 0.050244
509.000000, 0.056519
510.000000, 0.062791
511.000000, 0.069060
512.000000, 0.075327
513.000000, 0.081591
514.000000, 0.087851
515.000000, 0.094108
516.000000, 0.100362
517.000000, 0.106611
518.000000, 0.112856
519.000000, 0.119097
520.000000, 0.125333
521.000000, 0.131564
522.000000, 0.137790
523.000000, 0.144011
524.000000, 0.150226
525.000000, 0.156434
526.000000, 0.162637
527.000000, 0.168833
528.000000, 0.175023
529.000000, 0.181206
530.000000, 0.187381
531.000000, 0.193549
532.000000, 0.199710
533.000000, 0.205863
534.000000, 0.212007
535.000000, 0.218143
536.000000, 0.224271
537.000000, 0.230389
538.000000, 0.236499
539.000000, 0.242599
540.000000, 0.248690
541.000000, 0.254771
542.000000, 0.260842
543.000000, 0.266902
544.000000, 0.272952
545.000000, 0.278991
546.000000, 0.285019
547.000000, 0.291036
548.000000, 0.297042
549.000000, 0.303035
550.000000, 0.309017
551.000000, 0.314987
552.000000, 0.320944
553.000000, 0.326888
554.000000, 0.332820
555.000000, 0.338738
556.000000, 0.344643
557.000000, 0.350534
558.000000, 0.356412
559.000000, 0.362275
560.000000, 0.368125
561.000000, 0.373959
562.000000, 0.379779
563.000000, 0.385584
564.000000, 0.391374
565.000000, 0.397148
566.000000, 0.402906
567.000000, 0.408649
568.000000, 0.414376
569.000000, 0.420086
570.000000, 0.425779
571.000000, 0.431456
572.000000, 0.437116
573.000000, 0.442758
574.000000, 0.448383
575.000000, 0.453990
576.000000, 0.459580
577.000000, 0.465151
578.000000, 0.470704
579.000000, 0.476238
580.000000, 0.481754
581.000000, 0.487250
582.000000, 0.492727
583.000000, 0.498185
584.000000, 0.503623
585.000000, 0.509041
586.000000, 0.514440
587.000000, 0.519817
588.000000, 0.525175
589.000000, 0.530511
590.000000, 0.535827
591.000000, 0.541121
592.000000, 0.546394
593.000000, 0.551646
594.000000, 0.556876
595.000000, 0.562083
596.000000, 0.567269
597.000000, 0.572432
598.000000, 0.577573
599.000000, 0.582690
600.000000, 0.587785
601.000000, 0.592857
602.000000, 0.597905
603.000000, 0.602930
604.000000, 0.607930
605.000000, 0.612907
606.000000, 0.617860
607.000000, 0.622788
608.000000, 0.627691
609.000000, 0.632570
610.000000, 0.637424
611.000000, 0.642253
612.000000, 0.647056
613.000000, 0.651834
614.000000, 0.656586
615.000000, 0.661312
616.000000, 0.666012
617.000000, 0.670686
618.000000, 0.675333
619.000000, 0.679953
620.000000, 0.684547
621.000000, 0.689114
622.000000, 0.693653
623.000000, 0.698165
624.000000, 0.702650
625.000000, 0.707107
626.000000, 0.711536
627.000000, 0.715936
628.000000, 0.720309
629.000000, 0.724653
630.000000, 0.728969
631.000000, 0.733255
632.000000, 0.737513
633.000000, 0.741742
634.000000, 0.745941
635.000000, 0.750111
636.000000, 0.754251
637.000000, 0.758362
638.000000, 0.762443
639.000000, 0.766493
640.000000, 0.770513
641.000000, 0.774503
642.000000, 0.778462
643.000000, 0.782391
644.000000, 0.786288
645.000000, 0.790155
646.000000, 0.793990
647.000000, 0.797794
648.000000, 0.801567
649.000000, 0.805308
650.000000, 0.809017
651.000000, 0.812694
652.000000, 0.816339
653.000000, 0.819952
654.000000, 0.823533
655.000000, 0.827081
656.000000, 0.830596
657.000000, 0.834078
658.000000, 0.837528
659.000000, 0.840945
660.000000, 0.844328
661.000000, 0.847678
662.000000, 0.850994
663.000000, 0.854277
664.000000, 0.857527
665.000000, 0.860742
666.000000, 0.863923
667.000000, 0.867071
668.000000, 0.870184
669.000000, 0.873262
670.000000, 0.876307
671.000000, 0.879316
672.000000, 0.882291
673.000000, 0.885231
674.000000, 0.888136
675.000000, 0.891007
676.000000, 0.893841
677.000000, 0.896641
678.000000, 0.899405
679.000000, 0.902134
680.000000, 0.904827
681.000000, 0.907484
682.000000, 0.910106
683.000000, 0.912692
684.000000, 0.915241
685.000000, 0.917755
686.000000, 0.920232
687.000000, 0.922673
688.000000, 0.925077
689.000000, 0.927445
690.000000, 0.929776
691.000000, 0.932071
692.000000, 0.934329
693.000000, 0.936550
694.000000, 0.938734
695.000000, 0.940881
696.000000, 0.942991
697.000000, 0.945063
698.000000, 0.947098
699.000000, 0.949096
700.000000, 0.951057
701.000000, 0.952979
702.000000, 0.954865
703.000000, 0.956712
704.000000, 0.958522
705.000000, 0.960294
706.000000, 0.962028
707.000000, 0.963724
708.000000, 0.965382
709.000000, 0.967001
710.000000, 0.968583
711.000000, 0.970127
712.000000, 0.971632
713.000000, 0.973099
714.000000, 0.974527
715.000000, 0.975917
716.000000, 0.977268
717.000000, 0.978581
718.000000, 0.979855
719.000000, 0.981091
720.000000, 0.982287
721.000000, 0.983445
722.000000, 0.984564
723.000000, 0.985645
724.000000, 0.986686
725.000000, 0.987688
726.000000, 0.988652
727.000000, 0.989576
728.000000, 0.990461
729.000000, 0.991308
730.000000, 0.992115
731.000000, 0.992883
732.000000, 0.993611
733.000000, 0.994301
734.000000, 0.994951
735.000000, 0.995562
736.000000, 0.996134
737.000000, 0.996666
738.000000, 0.997159
739.000000, 0.997613
740.000000, 0.998027
741.000000, 0.998402
742.000000, 0.998737
743.000000, 0.999033
744.000000, 0.999289
745.000000, 0.999507
746.000000, 0.999684
747.000000, 0.999822
748.000000, 0.999921
749.000000, 0.999980
750.000000, 1.000000
751.000000, 0.999980
752.000000, 0.999921
753.000000, 0.999822
754.000000, 0.999684
755.000000, 0.999507
756.000000, 0.999289
757.000000, 0.999033
758.000000, 0.998737
759.000000, 0.998402
760.000000, 0.998027
761.000000, 0.997613
762.000000, 0.997159
763.000000, 0.996666
764.000000, 0.996134
765.000000, 0.995562
766.000000, 0.994951
767.000000, 0.994301
768.000000, 0.993611
769.000000, 0.992883
770.000000, 0.992115
771.000000, 0.991308
772.000000, 0.990461
773.000000, 0.989576
774.000000, 0.988652
775.000000, 0.987688
776.000000, 0.986686
777.000000, 0.985645
778.000000, 0.984564
779.000000, 0.983445
780.000000, 0.982287
781.000000, 0.981091
782.000000, 0.979855
783.000000, 0.978581
784.000000, 0.977268
785.000000, 0.975917
786.000000, 0.974527
787.000000, 0.973099
788.000000, 0.971632
789.000000, 0.970127
790.000000, 0.968583
791.000000, 0.967001
792.000000, 0.965382
793.000000, 0.963724
794.000000, 0.962028
795.000000, 0.960294
796.000000, 0.958522
797.000000, 0.956712
798.000000, 0.954865
799.000000, 0.952979
800.000000, 0.951057
801.000000, 0.949096
802.000000, 0.947098
803.000000, 0.945063
804.000000, 0.942991
805.000000, 0.940881
806.000000, 0.938734
807.000000, 0.936550
808.000000, 0.934329
809.000000, 0.932071
810.000000, 0.929776
811.000000, 0.927445
812.000000, 0.925077
813.000000, 0.922673
814.000000, 0.920232
815.000000, 0.917755
816.000000, 0.915241
817.000000, 0.912692
818.000000, 0.910106
819.000000, 0.907484
820.000000, 0.904827
821.000000, 0.902134
822.000000, 0.899405
823.000000, 0.896641
824.000000, 0.893841
825.000000, 0.891007
826.000000, 0.888136
827.000000, 0.885231
828.000000, 0.882291
829.000000, 0.879316
830.000000, 0.876307
831.000000, 0.873262
832.000000, 0.870184
833.000000, 0.867071
834.000000, 0.863923
835.000000, 0.860742
836.000000, 0.857527
837.000000, 0.854277
838.000000, 0.850994
839.000000, 0.847678
840.000000, 0.844328
841.000000, 0.840945
842.000000, 0.837528
843.000000, 0.834078
844.000000, 0.830596
845.000000, 0.827081
846.000000, 0.823533
847.000000, 0.819952
848.000000, 0.816339
849.000000, 0.812694
850.000000, 0.809017
851.000000, 0.805308
852.000000, 0.801567
853.000000, 0.797794
854.000000, 0.793990
855.000000, 0.790155
856.000000, 0.786288
857.000000, 0.782391
858.000000, 0.778462
859.000000, 0.774503
860.000000, 0.770513
861.000000, 0.766493
862.000000, 0.762443
863.000000, 0.758362
864.000000, 0.754251
865.000000, 0.750111
866.000000, 0.745941
867.000000, 0.741742
868.000000, 0.737513
869.000000, 0.733255
870.000000, 0.728969
871.000000, 0.724653
872.000000, 0.720309
873.000000, 0.715936
874.000000, 0.711536
875.000000, 0.707107
876.000000, 0.702650
877.000000, 0.698165
878.000000, 0.693653
879.000000, 0.689114
880.000000, 0.684547
881.000000, 0.679953
882.000000, 0.675333
883.000000, 0.670686
884.000000, 0.666012
885.000000, 0.661312
886.000000, 0.656586
887.000000, 0.651834
888.000000, 0.647056
889.000000, 0.642253
890.000000, 0.637424
891.000000, 0.632570
892.000000, 0.627691
893.000000, 0.622788
894.000000, 0.617860
895.000000, 0.612907
896.000000, 0.607930
897.000000, 0.602930
898.000000, 0.597905
899.000000, 0.592857
900.000000, 0.587785
901.000000, 0.582690
902.000000, 0.577573
903.000000, 0.572432
904.000000, 0.567269
905.000000, 0.562083
906.000000, 0.556876
907.000000, 0.551646
908.000000, 0.546394
909.000000, 0.541121
910.000000, 0.535827
911.000000, 0.530511
912.000000, 0.525175
913.000000, 0.519817
914.000000, 0.514440
915.000000, 0.509041
916.000000, 0.503623
917.000000, 0.498185
918.000000, 0.492727
919.000000, 0.487250
920.000000, 0.481754
921.000000, 0.476238
922.000000, 0.470704
923.000000, 0.465151
924.000000, 0.459580
925.000000, 0.453990
926.000000, 0.448383
927.000000, 0.442758
928.000000, 0.437116
929.000000, 0.431456
930.000000, 0.425779
931.000000, 0.420086
932.000000, 0.414376
933.000000, 0.408649
934.000000, 0.402906
935.000000, 0.397148
936.000000, 0.391374
937.000000, 0.385584
938.000000, 0.379779
939.000000, 0.373959
940.000000, 0.368125
941.000000, 0.362275
942.000000, 0.356412
943.000000, 0.350534
944.000000, 0.344643
945.000000, 0.338738
946.000000, 0.332820
947.000000, 0.326888
948.000000, 0.320944
949.000000, 0.314987
950.000000, 0.309017
951.000000, 0.303035
952.000000, 0.297042
953.000000, 0.291036
954.000000, 0.285019
955.000000, 0.278991
956.000000, 0.272952
957.000000, 0.266902
958.000000, 0.260842
959.000000, 0.254771
960.000000, 0.248690
961.000000, 0.242599
962.000000, 0.236499
963.000000, 0.230389
964.000000, 0.224271
965.000000, 0.218143
966.000000, 0.212007
967.000000, 0.205863
968.000000, 0.199710
969.000000, 0.193549
970.000000, 0.187381
971.000000, 0.181206
972.000000, 0.175023
973.000000, 0.168833
974.000000, 0.162637
975.000000, 0.156434
976.000000, 0.150226
977.000000, 0.144011
978.000000, 0.137790
979.000000, 0.131564
980.000000, 0.125333
981.000000, 0.119097
982.000000, 0.112856
983.000000, 0.106611
984.000000, 0.100362
985.000000, 0.094108
986.000000, 0.087851
987.000000, 0.081591
988.000000, 0.075327
989.000000, 0.069060
990.000000, 0.062791
991.000000, 0.056519
992.000000, 0.050244
993.000000, 0.043968
994.000000, 0.037690
995.000000, 0.031411
996.000000, 0.025130
997.000000, 0.018848
998.000000, 0.012566
999.000000, 0.006283
